school_name,total_ips,high,medium,low,best_score,best_ip,best_hostname
Tottenville High School,0,0,0,0,0,,
Roosevelt Elementary School,0,0,0,0,0,,
Rachel Carson High School for Coastal Studies,0,0,0,0,0,,
Lido Elementary School,0,0,0,0,0,,
Saint Edmund Preparatory High School,0,0,0,0,0,,
New Utrecht High School,0,0,0,0,0,,
Port Richmond High School,0,0,0,0,0,,
Waverly Park Elementary School,0,0,0,0,0,,
Rhame Avenue Elementary School,0,0,0,0,0,,
East Rockaway Junior-Senior High School,2,2,0,0,3,74.254.87.10,mail.berkeley.k12.sc.us
Evergreen Elementary School,0,0,0,0,0,,
Seaford Harbor Elementary School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
Howard T. Herber Middle School,16,16,0,0,3,65.242.140.36,host36.howardpress.com
Merrick Avenue Middle School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
Harding Avenue Elementary School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
South Brooklyn Community High School,0,0,0,0,0,,
Susan E. Wiley Elementary School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
Park Avenue Elementary School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
William S. Covert Elementary School,2,2,0,0,3,74.254.87.10,mail.berkeley.k12.sc.us
East Lake Elementary School,2,2,0,0,3,50.216.217.89,eg-1-1-17-3955-soag02.lakeworth.fl.pompano.comcast.net
Hanson Place Seventh-Day Adventist Elementary School,0,0,0,0,0,,
Edmund W. Miles Middle School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
Lindenhurst High School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
John G. Dinkelmeyer Elementary School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
Farmingdale High School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
Walnut Street Elementary School,3,3,0,0,3,71.167.32.75,msmnymrkfw01.mainstreet.care
Sewanhaka High School,0,0,0,0,0,,
Stuyvesant High School,0,0,0,0,0,,
Santapogue Elementary School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
Marion G. Vedder Elementary School,0,0,0,0,0,,
Glenwood Elementary School,0,0,0,0,0,,
Elisabeth Irwin High School,0,0,0,0,0,,
Belmont Elementary School,1,1,0,0,3,170.24.142.8,barracuda.msd.k12.ny.us
Forest Hills High School,0,0,0,0,0,,
Bay Shore High School,0,0,0,0,0,,
Martin Van Buren High School,0,0,0,0,0,,
Idle Hour Elementary School,0,0,0,0,0,,
New Hyde Park Road Elementary School,28,28,0,0,3,24.103.2.227,newcitrix2.queenscp.org
Cherry Avenue Elementary School,0,0,0,0,0,,
Academy Street Elementary School,0,0,0,0,0,,
