ASN,Category 1 - Layer 1,Category 1 - Layer 2,Category 2 - Layer 1,Category 2 - Layer 2,Category 3 - Layer 1,Category 3 - Layer 2,Category 4 - Layer 1,Category 4 - Layer 2,Category 5 - Layer 1,Category 5 - Layer 2,Category 6 - Layer 1,Category 6 - Layer 2,Category 7 - Layer 1,Category 7 - Layer 2,Category 8 - Layer 1,Category 8 - Layer 2,Category 9 - Layer 1,Category 9 - Layer 2,Category 10 - Layer 1,Category 10 - Layer 2,Category 11 - Layer 1,Category 11 - Layer 2,Category 12 - Layer 1,Category 12 - Layer 2,Category 13 - Layer 1,Category 13 - Layer 2,Category 14 - Layer 1,Category 14 - Layer 2,Category 15 - Layer 1,Category 15 - Layer 2,Category 16 - Layer 1,Category 16 - Layer 2,Category 17 - Layer 1,Category 17 - Layer 2,Category 18 - Layer 1,Category 18 - Layer 2,Category 19 - Layer 1,Category 19 - Layer 2,Category 20 - Layer 1,Category 20 - Layer 2,Category 21 - Layer 1,Category 21 - Layer 2,Category 22 - Layer 1,Category 22 - Layer 2,Category 23 - Layer 1,Category 23 - Layer 2,Category 24 - Layer 1,Category 24 - Layer 2,Category 25 - Layer 1,Category 25 - Layer 2,Category 26 - Layer 1,Category 26 - Layer 2,Category 27 - Layer 1,Category 27 - Layer 2,Category 28 - Layer 1,Category 28 - Layer 2,Category 29 - Layer 1,Category 29 - Layer 2,Category 30 - Layer 1,Category 30 - Layer 2,Category 31 - Layer 1,Category 31 - Layer 2,Category 32 - Layer 1,Category 32 - Layer 2,Category 33 - Layer 1,Category 33 - Layer 2,Category 34 - Layer 1,Category 34 - Layer 2,Category 35 - Layer 1,Category 35 - Layer 2,Category 36 - Layer 1,Category 36 - Layer 2,Category 37 - Layer 1,Category 37 - Layer 2,Category 38 - Layer 1,Category 38 - Layer 2,Category 39 - Layer 1,Category 39 - Layer 2,Category 40 - Layer 1,Category 40 - Layer 2,Category 41 - Layer 1,Category 41 - Layer 2,Category 42 - Layer 1,Category 42 - Layer 2,Category 43 - Layer 1,Category 43 - Layer 2,Category 44 - Layer 1,Category 44 - Layer 2,Category 45 - Layer 1,Category 45 - Layer 2,Category 46 - Layer 1,Category 46 - Layer 2,Category 47 - Layer 1,Category 47 - Layer 2,Category 48 - Layer 1,Category 48 - Layer 2,Category 49 - Layer 1,Category 49 - Layer 2,Category 50 - Layer 1,Category 50 - Layer 2,Category 51 - Layer 1,Category 51 - Layer 2,Category 52 - Layer 1,Category 52 - Layer 2,Category 53 - Layer 1,Category 53 - Layer 2,Category 54 - Layer 1,Category 54 - Layer 2,Category 55 - Layer 1,Category 55 - Layer 2,Category 56 - Layer 1,Category 56 - Layer 2,Category 57 - Layer 1,Category 57 - Layer 2,Category 58 - Layer 1,Category 58 - Layer 2,Category 59 - Layer 1,Category 59 - Layer 2,Category 60 - Layer 1,Category 60 - Layer 2,Category 61 - Layer 1,Category 61 - Layer 2,Category 62 - Layer 1,Category 62 - Layer 2,Category 63 - Layer 1,Category 63 - Layer 2,Category 64 - Layer 1,Category 64 - Layer 2,Category 65 - Layer 1,Category 65 - Layer 2,Category 66 - Layer 1,Category 66 - Layer 2,Category 67 - Layer 1,Category 67 - Layer 2,Category 68 - Layer 1,Category 68 - Layer 2
AS1272,Computer and Information Technology,Software Development,Education and Research,Education Software,Education and Research,,Education and Research,Other,Education and Research,"Colleges, Universities, and Professional Schools",Community Groups and Nonprofits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS1880,Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS2850,Computer and Information Technology,,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,Education and Research,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS2117,Education and Research,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS2028,Education and Research,Research and Development Organizations,Manufacturing,Electronics and Computer Components,Computer and Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS2592,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS3271,Computer and Information Technology,Software Development,Computer and Information Technology,Hosting and Cloud Provider,Service,,Education and Research,"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",Computer and Information Technology,,Service,"Law, Business, and Consulting Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS3288,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,Other,Community Groups and Nonprofits,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS3351,Construction and Real Estate,Real Estate (Residential and/or Commercial),Education and Research,Research and Development Organizations,Education and Research,"Colleges, Universities, and Professional Schools",Travel and Accommodation,"Boarding Houses, Dormitories, Workers’ Camps","Media, Publishing, and Broadcasting","Print Media (Newspapers, Magazines, Books)",Computer and Information Technology,Internet Service Provider (ISP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS5421,Education and Research,"Colleges, Universities, and Professional Schools",Education and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
