school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
Lincoln Elementary School,-74.4535140991211,40.50039291381836,Primary,USA,09779501-c387-3aa4-aaba-529c9099ce51,
Rabbi Jacob Joseph Yeshiva School,-74.39797973632812,40.50099182128906,Unknown,USA,a613c3ba-d23f-38b6-877a-22419d1f24ba,
Childrens House Montessori School,-74.42678833007812,40.50193786621094,Unknown,USA,8a480d55-c629-336f-82f2-f3a368ed3b75,
New Brunswick Vocational School,-74.46037292480469,40.502010345458984,Unknown,USA,9834c57c-07dd-3ae0-9c88-7d0876bc2e52,
Robert N. Willentz Elementary School,-74.27569580078125,40.50212478637695,Primary,USA,995aedc5-2596-3fad-853a-9547d597b306,
Irving Primary School,-74.4171142578125,40.50216293334961,Primary,USA,6ba271a4-7050-375e-8e64-0483c4cb5ba9,
Highland Park Schools,-74.42650604248047,40.50341033935547,Secondary,USA,cf74403f-8fb7-34ee-a2d8-f1ce57958cab,
Number 7 Elementary School,-74.27153778076172,40.5042724609375,Primary,USA,0f6963fe-3f64-32db-b092-67795c00cf09,
Conerly Road Elementary School,-74.4941177368164,40.50508117675781,Primary,USA,5ad9bb57-6c9f-3603-8235-ece47d1ed307,
Yeshiva Shaarei Tzion,-74.4322280883789,40.50641632080078,Unknown,USA,4c8545fc-17af-38c3-8bd6-1901777be1ee,
Intermediate School 34,-74.2431640625,40.507789611816406,Unknown,USA,8eb58c50-19f7-3865-b398-84e0d1c71106,
William C McGinnis Middle School,-74.26883697509766,40.507869720458984,Secondary,USA,95cd5907-8ac8-3517-9665-cf901b1eaf1e,
Rabbi Pesach Raymon Yeshiva School,-74.4281234741211,40.508209228515625,Unknown,USA,3e3af54e-2913-3525-8319-b8393627ea46,
Public School 1,-74.24396514892578,40.50862121582031,Unknown,USA,84d1dd5a-7d61-3e48-be4c-64c4b7b01adb,
Cathedral Preparatory Academy,-74.27174377441406,40.50941848754883,Unknown,USA,b0a771e0-e5c9-3531-83de-95e1257010d7,
James P. Murphy Staten Island Preparatory School,-74.2431411743164,40.50954055786133,Unknown,USA,ca056732-089d-3f59-9a47-6d6e4dcae50b,
Public School 6,-74.230224609375,40.510337829589844,Unknown,USA,48c02181-f328-3601-837f-27ee0e861a3c,
Saint Marys Early Childhood Center School,-74.26563262939453,40.51042938232422,Unknown,USA,cb1018af-d0ce-3cf6-8ccd-cebfcbc754df,
Saint Matthew School,-74.3974609375,40.51070022583008,Unknown,USA,8f275383-d0be-3374-a29c-43d71f6d5893,
Peppermint Tree Child Care Center School,-74.34741973876953,40.5111198425293,Unknown,USA,ab7944ff-09b3-356a-8943-823d20a6d5ca,
John Marshall Elementary School,-74.41796112060547,40.51190185546875,Primary,USA,508d1636-1781-3132-bffc-e3e11efc8eb9,
South Richmond High School,-74.22237396240234,40.512046813964844,Secondary,USA,6b6d04b9-8842-3a16-9c78-89c7664f9283,
Dr. Herbert N. Richardson 21st Century Elementary School,-74.27751922607422,40.512420654296875,Primary,USA,635d7fe0-fc87-3481-91a8-94e094799a44,
Perth Amboy Adult High School,-74.26862335205078,40.51262283325195,Secondary,USA,aea25b62-75a7-30bd-a982-0af9365d5285,
Perth Amboy Technical High School,-74.26276397705078,40.5141487121582,Secondary,USA,18ac5464-5f20-3424-81d7-18e2124ae05a,
Anthony V Ceres Elementary School,-74.26583099365234,40.51430892944336,Primary,USA,ac97f1cc-e658-3209-bbde-9d68a3a364fe,
Hua Xia Edison Chinese School,-74.39472198486328,40.51444625854492,Unknown,USA,a0d8129a-d541-3a04-9a7c-1c77a857580e,
Edison High School,-74.38739013671875,40.514495849609375,Secondary,USA,17b30649-0cae-3315-bff2-24cf7f2371f9,
Apple Montessori School,-74.35897827148438,40.515464782714844,Unknown,USA,b8b9fbbb-4ed3-32b1-a906-d30f09f52362,
Perth Amboy Catholic Intermediate School,-74.26388549804688,40.515560150146484,Unknown,USA,f74fccb9-5894-3b04-b10c-4784d1e3581a,
Rose M. Lopez Elementary School,-74.2793197631836,40.516109466552734,Primary,USA,256cef1c-c802-379d-b838-738eea39e684,
Most Holy Rosary School,-74.27236938476562,40.51621627807617,Unknown,USA,1cc3f097-ec70-3784-9b46-79bebaadf0af,
Thomas Jefferson Middle School,-74.40928649902344,40.516334533691406,Secondary,USA,0cc7a1ae-76ac-3032-aecd-1f2ce71a9973,
Edward J. Patten Elementary School,-74.26701354980469,40.51737976074219,Primary,USA,53656ada-5ea4-3797-bd40-8c7675a8f7de,
Public School 3 - The Margaret M. Gioiosa Pleasant Plains School,-74.21184539794922,40.52082061767578,Unknown,USA,df3b1d37-6e0f-31ed-9bba-17305a31cac5,
Lincoln Elementary School,-74.38233947753906,40.521121978759766,Primary,USA,7366eb72-7f1d-3d7c-92c6-60b8672bae50,
Our Lady of Peace Elementary School,-74.27542114257812,40.521217346191406,Primary,USA,2dea582a-0abd-30a3-b50a-4f41741f0c41,
Perth Amboy Catholic Middle School,-74.26737976074219,40.52153015136719,Secondary,USA,3bfba086-7456-369e-a419-b241a6fb1a75,
Ukrainian Catholic Church of the Assumption School,-74.2732925415039,40.52278518676758,Unknown,USA,30650978-00bf-3df5-882d-d4488f025dec,
Intermediate School 7,-74.18609619140625,40.522972106933594,Unknown,USA,295e0db8-f39b-309a-9c0a-9b58c9d83807,
Gateway Academy,-74.23162841796875,40.52323532104492,Unknown,USA,2fd90389-6cc5-36a4-b52b-f8f9df0c44f7,
Rutgers Livingston Day Care School,-74.433349609375,40.523372650146484,Unknown,USA,0e7c3c2c-6266-32c5-a4b6-ca33cb107b4c,
Saint Joseph By The Sea High School,-74.17658996582031,40.524749755859375,Secondary,USA,c04db273-6ad5-3345-aa9b-06b0ea434842,
Perth Amboy Catholic Primary School,-74.28764343261719,40.52496337890625,Primary,USA,e4273f88-beb4-37a0-b5e6-bfbd22553e00,
