school_name,providers
Tottenville High School,Verizon|Spectrum
Roosevelt Elementary School,
Rachel Carson High School for Coastal Studies,Verizon|Optimum|Astound Broadband|Lightpath
Lido Elementary School,Verizon|Optimum|Lightpath
Saint Edmund Preparatory High School,Verizon|Optimum|Astound Broadband|Lightpath
New Utrecht High School,Verizon|Optimum|Lightpath
Port Richmond High School,Verizon|Lightpath|Spectrum
Waverly Park Elementary School,Verizon|Optimum|Lightpath
Rhame Avenue Elementary School,Verizon|Optimum|Lightpath
East Rockaway Junior-Senior High School,Verizon|Optimum|Lightpath
Evergreen Elementary School,
Seaford Harbor Elementary School,Verizon|Optimum|Lightpath
Howard T. Herber Middle School,Verizon|Optimum|Lightpath
Merrick Avenue Middle School,Verizon|Optimum|Lightpath
Harding Avenue Elementary School,Verizon|Optimum|Lightpath
South Brooklyn Community High School,Verizon|Optical Communications Group Inc|Lightpath|Spectrum
Susan E. Wiley Elementary School,Verizon|Optimum|Lightpath
Park Avenue Elementary School,Verizon|Optimum|Lightpath
William S. Covert Elementary School,Verizon|Optimum|Lightpath
East Lake Elementary School,Verizon|Optimum|Lightpath
Hanson Place Seventh-Day Adventist Elementary School,Verizon|Optical Communications Group Inc|Lightpath|Spectrum
Edmund W. Miles Middle School,Verizon|Optimum|Lightpath
Lindenhurst High School,Verizon|Optimum|Lightpath
John G. Dinkelmeyer Elementary School,Verizon|Optimum|Lightpath
Farmingdale High School,Verizon|Optimum|Lightpath
Walnut Street Elementary School,Verizon|Optimum|Lightpath
Sewanhaka High School,Verizon|Optical Communications Group Inc|Optimum|Lightpath
Stuyvesant High School,"Verizon|Pilot Fiber|Zayo Network Services, LLC|Starry Inc|Astound Broadband|Cogent Communication|Spectrum|Lightpath"
Santapogue Elementary School,Verizon|Optimum|Lightpath
Marion G. Vedder Elementary School,Verizon|Optimum|Lightpath
Glenwood Elementary School,
Elisabeth Irwin High School,"Verizon|Pilot Fiber|Zayo Network Services, LLC|Optical Communications Group Inc|Starry Inc|FirstLight Fiber|Astound Broadband|Cogent Communication|Spectrum|ZAYO GROUP LLC|Lightpath"
Belmont Elementary School,Verizon|Optimum|Lightpath
Forest Hills High School,Verizon|Lightpath|Spectrum
Bay Shore High School,Verizon|ZAYO GROUP LLC|Optimum|Lightpath
Martin Van Buren High School,Verizon|Lightpath|Spectrum
Idle Hour Elementary School,Verizon|Optimum|Lightpath
New Hyde Park Road Elementary School,Verizon|Optical Communications Group Inc|Optimum|Lightpath
Cherry Avenue Elementary School,Verizon|Optimum|Lightpath
Academy Street Elementary School,Verizon|Optimum|Lightpath
Queens Technical High School,Verizon|Lightpath|Spectrum
