school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
Bay Shore High School,-73.255126953125,40.73317337036133,Secondary,USA,813c7e05-13af-3709-a1f8-a7ee66607d4b,
Syosset Central Schools,-73.48471069335938,40.83012771606445,Unknown,USA,df329fb9-0411-3542-887f-30a826927502,
Brentwood High School,-73.2552719116211,40.77393341064453,Secondary,USA,9b1afcac-8d73-38a0-8077-2eb8f269f616,
Saint Patrick School,-73.43167114257812,40.869998931884766,Unknown,USA,ab3f03e4-2000-32b8-998e-4cc43bb146dd,
Northport High School,-73.34190368652344,40.87885665893555,Secondary,USA,73cc913c-d57d-3071-973b-b48acafb68b2,
Smithtown Central School District,-73.20044708251953,40.854305267333984,Unknown,USA,eb588304-c9a0-30c9-8499-675a1a1fe426,
Sachem High School - North Campus,-73.1014633178711,40.83699035644531,Secondary,USA,e490bd0d-57a6-3c8f-82b4-0fd3d3c9014e,
Malverne High School,-73.66026306152344,40.670555114746094,Secondary,USA,836f1201-39c1-381a-813f-4831f211c50c,
Smith Clove Elementary School,-74.12083435058594,41.33361053466797,Primary,USA,28a08348-b1ba-3465-b16b-f2a53a1ff82b,
Kenmore West High School,-78.86577606201172,42.960182189941406,Secondary,USA,9b3071ed-a7ac-387e-927d-c5ae93ca48f9,
Saint Josephs High School,-77.60652160644531,43.159732818603516,Secondary,USA,c5596e47-bbb8-3de3-b43d-c4727644a5a6,
Prescott School,-76.147705078125,43.05339813232422,Unknown,USA,4212d639-ebdc-381e-b265-602105534fef,
Public School 110,-73.94197082519531,40.72371292114258,Unknown,USA,08f79600-aaa0-3478-b542-41e229d0e766,
Public School 114,-73.92330932617188,40.83507537841797,Unknown,USA,536a3fa5-34c9-3885-bd88-e565a6a869db,
Holy Cross School,-73.99095153808594,40.75840377807617,Unknown,USA,2571c1c7-6dd0-3bd4-bc54-14bc79634f29,
Saint Pauls School,-73.87957763671875,40.909820556640625,Unknown,USA,cfba2023-2732-3f48-917a-72edae246933,
Scarsdale Middle School,-73.77620697021484,40.992916107177734,Secondary,USA,77ee2170-ad62-3919-b770-8ed3d37c1b60,
Clarkstown South Senior High School,-73.98016357421875,41.10319900512695,Secondary,USA,9bd84730-6568-3667-a9dd-8d569fdf35e0,
Edmund J. O'Neal Middle School of Excellence,-73.75713348388672,42.6611213684082,Secondary,USA,9a0d6147-1854-3f00-be87-a96fd246b76c,
Washington Irving Educational Center,-73.942138671875,42.806861877441406,Unknown,USA,10c9df30-8901-3e95-ad75-6efe316fd40a,
Name unknown,-73.9212646484375,41.70406723022461,Unknown,USA,ea8b419a-c2f3-3b5d-b087-cd513b9dfdb4,
Saint Joachim's School,-73.95907592773438,41.503170013427734,Unknown,USA,50876c88-6512-39e9-868c-890df83c0370,
Buckman Heights Elementary School,-77.66954803466797,43.2171630859375,Primary,USA,97c181eb-0959-330f-a388-43800780ed76,
Hutchinson Central Technical High School,-78.87894439697266,42.89175796508789,Secondary,USA,cd050f63-5c8e-3e69-8ded-7ed622268340,
Christopher Columbus Public School,-75.9033432006836,42.09880447387695,Unknown,USA,42928646-bd3f-327c-b4c6-11fa4d0efaba,
