cidr,school_name,reason
24.97.22.204/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.141.92/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6ec:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.129.124/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.226.56/29,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.72.164/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b388:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f8:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.193.196/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.127.128/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.239.180/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7083:db00::/40,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6fc:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
72.45.237.136/29,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.109.224/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.169.106.12/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e0:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.28.28/30,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.9.220/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6da:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6fc:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.170.132/30,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.30.48/29,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.249.144/29,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.171.236/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6c4:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
150.221.13.48/29,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.114.96/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6cc:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7601::/48,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7701::/48,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b388:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b384:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7700:2000::/51,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f2:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7620::/43,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.117.144/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e8:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.11.136/29,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.96.200/30,Willow Field Elementary School,no_phase2_match_or_timed_out
12.156.94.0/24,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.37.208/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.30.254.252/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.92.224/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6cd:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7708::/45,Willow Field Elementary School,no_phase2_match_or_timed_out
184.74.104.148/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.17.208/30,Willow Field Elementary School,no_phase2_match_or_timed_out
184.74.50.196/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.245.68/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e8:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a09:bac6:a820::/45,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b404:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7083:eb00::/40,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.18.112/30,Willow Field Elementary School,no_phase2_match_or_timed_out
45.39.217.187/32,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7610::/44,Willow Field Elementary School,no_phase2_match_or_timed_out
72.45.146.244/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.101.152/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f9:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.214.112/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f3:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.104.96/29,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.241.208/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a09:bac1:7681:6d60::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6cc:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.16.240/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6ed:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
75.117.123.168/29,Willow Field Elementary School,no_phase2_match_or_timed_out
75.117.123.164/32,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7602::/47,Willow Field Elementary School,no_phase2_match_or_timed_out
108.176.98.136/29,Willow Field Elementary School,no_phase2_match_or_timed_out
198.179.98.224/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.159.96/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.251.20/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b408:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
108.176.105.220/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.102.68/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.58.242.18/32,Willow Field Elementary School,no_phase2_match_or_timed_out
2602:107:6511:76::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.88.88/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b385:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.110.144/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.249.80/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.152.12/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f8:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
150.221.21.220/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.167.32/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.230.0/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.58.242.22/32,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.190.200/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.65.176/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.140.112/29,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.105.140/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.122.164/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7780::/41,Willow Field Elementary School,no_phase2_match_or_timed_out
150.221.31.0/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.211.4/30,Willow Field Elementary School,no_phase2_match_or_timed_out
184.74.66.72/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7083:ec00::/40,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.7.32/30,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.39.128/27,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.181.80/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.108.200/30,Willow Field Elementary School,no_phase2_match_or_timed_out
198.179.98.20/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.208.240/30,Willow Field Elementary School,no_phase2_match_or_timed_out
198.179.99.120/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.199.8/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d0:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
