school_name,source,total_ips,high,medium,low,best_score,best_ip,best_hostname
Tottenville High School,sampled,0,0,0,0,0,,
Roosevelt Elementary School,sampled,0,0,0,0,0,,
Rachel Carson High School for Coastal Studies,sampled,0,0,0,0,0,,
Lido Elementary School,sampled,0,0,0,0,0,,
Saint Edmund Preparatory High School,sampled,0,0,0,0,0,,
New Utrecht High School,sampled,0,0,0,0,0,,
Port Richmond High School,sampled,0,0,0,0,0,,
Waverly Park Elementary School,sampled,0,0,0,0,0,,
Rhame Avenue Elementary School,sampled,0,0,0,0,0,,
East Rockaway Junior-Senior High School,sampled,0,0,0,0,0,,
Evergreen Elementary School,sampled,0,0,0,0,0,,
Seaford Harbor Elementary School,sampled,0,0,0,0,0,,
Howard T. Herber Middle School,sampled,0,0,0,0,0,,
Merrick Avenue Middle School,sampled,0,0,0,0,0,,
Harding Avenue Elementary School,sampled,0,0,0,0,0,,
South Brooklyn Community High School,sampled,0,0,0,0,0,,
Susan E. Wiley Elementary School,sampled,0,0,0,0,0,,
Park Avenue Elementary School,sampled,0,0,0,0,0,,
William S. Covert Elementary School,sampled,0,0,0,0,0,,
East Lake Elementary School,sampled,0,0,0,0,0,,
Hanson Place Seventh-Day Adventist Elementary School,sampled,0,0,0,0,0,,
Edmund W. Miles Middle School,sampled,0,0,0,0,0,,
Lindenhurst High School,sampled,0,0,0,0,0,,
John G. Dinkelmeyer Elementary School,sampled,0,0,0,0,0,,
Farmingdale High School,sampled,0,0,0,0,0,,
Walnut Street Elementary School,sampled,0,0,0,0,0,,
Sewanhaka High School,sampled,0,0,0,0,0,,
Stuyvesant High School,sampled,0,0,0,0,0,,
Santapogue Elementary School,sampled,0,0,0,0,0,,
Marion G. Vedder Elementary School,sampled,0,0,0,0,0,,
Glenwood Elementary School,sampled,0,0,0,0,0,,
Elisabeth Irwin High School,sampled,0,0,0,0,0,,
Belmont Elementary School,sampled,0,0,0,0,0,,
Forest Hills High School,sampled,0,0,0,0,0,,
Bay Shore High School,sampled,0,0,0,0,0,,
Martin Van Buren High School,sampled,0,0,0,0,0,,
Idle Hour Elementary School,sampled,0,0,0,0,0,,
New Hyde Park Road Elementary School,sampled,0,0,0,0,0,,
Cherry Avenue Elementary School,sampled,0,0,0,0,0,,
Academy Street Elementary School,sampled,0,0,0,0,0,,
Queens Technical High School,sampled,0,0,0,0,0,,
Landmark High School,sampled,0,0,0,0,0,,
East Islip High School,sampled,0,0,0,0,0,,
Hicksville High School,sampled,0,0,0,0,0,,
Laurel Park Elementary School,sampled,0,0,0,0,0,,
South Ocean Middle School,sampled,0,0,0,0,0,,
Brentwood High School,sampled,0,0,0,0,0,,
Cantiague Elementary School,sampled,0,0,0,0,0,,
Howard B. Mattlin Middle School,sampled,0,0,0,0,0,,
Hunter College Campus Schools,sampled,0,0,0,0,0,,
Richard S. Sherman - Great Neck North Middle School,sampled,0,0,0,0,0,,
"Columbia Secondary School For Math, Science And Engineering",sampled,0,0,0,0,0,,
Vanderbilt Elementary School,sampled,0,0,0,0,0,,
Bronx Community High School,sampled,0,0,0,0,0,,
Middle School X101 Edward R Byrne,sampled,0,0,0,0,0,,
Henry P Becton Regional High School,sampled,0,0,0,0,0,,
Dogwood Elementary School,sampled,0,0,0,0,0,,
Accompsett Elementary School,sampled,0,0,0,0,0,,
Accompsett Middle School,sampled,0,0,0,0,0,,
Mills Pond Elementary School,sampled,0,0,0,0,0,,
Pulaski Road Elementary School,sampled,0,0,0,0,0,,
Ann MacArthur Primary School,sampled,0,0,0,0,0,,
William T. Rogers Middle School,sampled,0,0,0,0,0,,
Comsewogue High School,sampled,0,0,0,0,0,,
Martin Luther King Junior High Technical and Computer Magnet School,sampled,0,0,0,0,0,,
Rocky Point Middle/High School,sampled,0,0,0,0,0,,
Highview School,sampled,0,0,0,0,0,,
Eric S Simith Middle School,sampled,0,0,0,0,0,,
Byram Hills High School,sampled,0,0,0,0,0,,
Fox Lane Middle School,sampled,0,0,0,0,0,,
Mount Kisco Elementary School,sampled,0,0,0,0,0,,
Bedford Village Elementary School,sampled,0,0,0,0,0,,
Greenwood Lake Middle School,sampled,0,0,0,0,0,,
Peekskill Middle School,sampled,0,0,0,0,0,,
Sapphire Elementary School,sampled,0,0,0,0,0,,
Mohansic Elementary School,sampled,0,0,0,0,0,,
North Main Street Elementary School,sampled,0,0,0,0,0,,
Putnam Valley Middle School,sampled,0,0,0,0,0,,
