school_name,total_ips,high,medium,low,best_score,best_ip,best_hostname
Lincoln Elementary School,0,0,0,0,0,,
Rabbi Jacob Joseph Yeshiva School,0,0,0,0,0,,
Childrens House Montessori School,0,0,0,0,0,,
New Brunswick Vocational School,0,0,0,0,0,,
Robert N. Willentz Elementary School,0,0,0,0,0,,
Irving Primary School,0,0,0,0,0,,
Highland Park Schools,0,0,0,0,0,,
Number 7 Elementary School,0,0,0,0,0,,
Conerly Road Elementary School,0,0,0,0,0,,
Yeshiva Shaarei Tzion,0,0,0,0,0,,
Intermediate School 34,0,0,0,0,0,,
William C McGinnis Middle School,0,0,0,0,0,,
Rabbi Pesach Raymon Yeshiva School,0,0,0,0,0,,
Public School 1,0,0,0,0,0,,
Cathedral Preparatory Academy,0,0,0,0,0,,
James P. Murphy Staten Island Preparatory School,0,0,0,0,0,,
Public School 6,0,0,0,0,0,,
Saint Marys Early Childhood Center School,0,0,0,0,0,,
Saint Matthew School,0,0,0,0,0,,
Peppermint Tree Child Care Center School,0,0,0,0,0,,
John Marshall Elementary School,0,0,0,0,0,,
South Richmond High School,0,0,0,0,0,,
Dr. Herbert N. Richardson 21st Century Elementary School,0,0,0,0,0,,
Perth Amboy Adult High School,0,0,0,0,0,,
Perth Amboy Technical High School,0,0,0,0,0,,
Anthony V Ceres Elementary School,0,0,0,0,0,,
Hua Xia Edison Chinese School,0,0,0,0,0,,
Edison High School,0,0,0,0,0,,
Apple Montessori School,0,0,0,0,0,,
Perth Amboy Catholic Intermediate School,0,0,0,0,0,,
Rose M. Lopez Elementary School,0,0,0,0,0,,
Most Holy Rosary School,0,0,0,0,0,,
Thomas Jefferson Middle School,0,0,0,0,0,,
Edward J. Patten Elementary School,0,0,0,0,0,,
Public School 3 - The Margaret M. Gioiosa Pleasant Plains School,0,0,0,0,0,,
Lincoln Elementary School,0,0,0,0,0,,
Our Lady of Peace Elementary School,0,0,0,0,0,,
Perth Amboy Catholic Middle School,0,0,0,0,0,,
Ukrainian Catholic Church of the Assumption School,0,0,0,0,0,,
Intermediate School 7,0,0,0,0,0,,
Gateway Academy,0,0,0,0,0,,
Rutgers Livingston Day Care School,0,0,0,0,0,,
Saint Joseph By The Sea High School,0,0,0,0,0,,
Perth Amboy Catholic Primary School,0,0,0,0,0,,
Helping Hands Learning Center School,0,0,0,0,0,,
Rutgers Preparatory School,0,0,0,0,0,,
Piscataway Vocational Technical High School,0,0,0,0,0,,
Yeshiva Shaarie Tzion School,0,0,0,0,0,,
St. Joseph - St. Thomas School,0,0,0,0,0,,
NuView Academy,0,0,0,0,0,,
Kindercare Learning Center School,0,0,0,0,0,,
Yeshiva of Staten Island,0,0,0,0,0,,
Tottenville High School,0,0,0,0,0,,
First Class School,0,0,0,0,0,,
Our Lady of Peace School,0,0,0,0,0,,
Public School 5,0,0,0,0,0,,
Raritan Valley Academy School,0,0,0,0,0,,
Metuchen Christian Academy,0,0,0,0,0,,
An Noor Academy School,0,0,0,0,0,,
Our Redeemer Lutheran School,0,0,0,0,0,,
Edgar Middle School,0,0,0,0,0,,
Piscataway Regional Day School,0,0,0,0,0,,
Yeshiva Shaarei Tzion Boys School,0,0,0,0,0,,
Bright Beginnings Learning Center,0,0,0,0,0,,
Timothy Christian School,0,0,0,0,0,,
James J. Flynn Elementary School,0,0,0,0,0,,
Our Lady Star of the Sea School,0,0,0,0,0,,
Early Learning Center Preschool,0,0,0,0,0,,
Public School 55,0,0,0,0,0,,
Knollwood Elementary School,0,0,0,0,0,,
Mildred B. Moss Elementary School,0,0,0,0,0,,
Public School 4,0,0,0,0,0,,
Woodbridge Vocational Technical High School,0,0,0,0,0,,
The Children's Corner,0,0,0,0,0,,
Kalthleen Grimm School for Leadership and Sustainability at Sandy Ground,0,0,0,0,0,,
Lake Nelson Seventh Day Adventist School,0,0,0,0,0,,
Public School 56 - The Louis Desario School,0,0,0,0,0,,
A B Z Academy School,0,0,0,0,0,,
Franklin School,0,0,0,0,0,,
Children First Christian Montessori School,0,0,0,0,0,,
Public School 36,0,0,0,0,0,,
Metuchen Edison Community Day School,0,0,0,0,0,,
Frank D. Paulo Intermediate School 75,0,0,0,0,0,,
Campbell Elementary School,0,0,0,0,0,,
Saint Francis Cathedral School,0,0,0,0,0,,
Intermediate School 24,0,0,0,0,0,,
Saint Clare's School,0,0,0,0,0,,
Petits Enfants,0,0,0,0,0,,
Randolphville Elementary School,0,0,0,0,0,,
Rabbi Jacob Joseph School,0,0,0,0,0,,
Lafayette Estates School #25,0,0,0,0,0,,
Public School 8,0,0,0,0,0,,
Woodburn Hall,0,0,0,0,0,,
Kinder College Early Childhood Preschool,0,0,0,0,0,,
O'Neill Hall,0,0,0,0,0,,
Maurice Wollin School,0,0,0,0,0,,
Public School 42,0,0,0,0,0,,
Public School 53 - The Barbara Esselborn School,0,0,0,0,0,,
Saint James School,0,0,0,0,0,,
Lakeview School,0,0,0,0,0,,
Metuchen High School,0,0,0,0,0,,
Woodbridge Grade School Number 12 (historical),0,0,0,0,0,,
Great Kills High School,0,0,0,0,0,,
Ross Street School #11,0,0,0,0,0,,
Rainbow Academy School,0,0,0,0,0,,
Woodbrook Elementary School,0,0,0,0,0,,
Public School 32 - The Giffords School,0,0,0,0,0,,
Matthew Jago School #28,0,0,0,0,0,,
Woodbridge Middle School,0,0,0,0,0,,
Goddard School - Woodbridge,0,0,0,0,0,,
Mawbey Street School #1,0,0,0,0,0,,
Suz Anne School,0,0,0,0,0,,
Public School 50,0,0,0,0,0,,
Menlo Park Elementary School,0,0,0,0,0,,
Dwight D. Eisenhower Elementary School,0,0,0,0,0,,
Saint Charles School,0,0,0,0,0,,
Public School 37,0,0,0,0,0,,
Theodore Schor Middle School,0,0,0,0,0,,
School Number 9,0,0,0,0,0,,
Richmondtown Preparatory School,0,0,0,0,0,,
Grandview Elementary School,0,0,0,0,0,,
Woodbridge High School,0,0,0,0,0,,
Monsignor Farrell High School,0,0,0,0,0,,
Staten Island Technical High School,0,0,0,0,0,,
Our Lady of Mount Virgin School,0,0,0,0,0,,
New Dorp High School,0,0,0,0,0,,
Public School 23,0,0,0,0,0,,
Public School 28,0,0,0,0,0,,
Saint Margaret Mary School,0,0,0,0,0,,
Bright Beginnings Preschool,0,0,0,0,0,,
New Dorp Christian Academy,0,0,0,0,0,,
Hagaman Heights School,0,0,0,0,0,,
Port Reading School #9,0,0,0,0,0,,
Saint Patricks School,0,0,0,0,0,,
The Richmondtown School,0,0,0,0,0,,
Staten Island Hebrew Academy,0,0,0,0,0,,
Cleveland School,0,0,0,0,0,,
Quibbletown Middle School,0,0,0,0,0,,
Columbus Elementary School,0,0,0,0,0,,
Columbus Elementary School,0,0,0,0,0,,
Public School 41 - The Stephanie A. Vierno School,0,0,0,0,0,,
Yeshiva of Belle Harbor,0,0,0,0,0,,
Saint Cecelia School,0,0,0,0,0,,
Public School 329,0,0,0,0,0,,
Saint Josephs School,0,0,0,0,0,,
Gateway School,0,0,0,0,0,,
Public School 38,0,0,0,0,0,,
Keith Wold Johnson Child Care Center School,0,0,0,0,0,,
You and Me Preschool,0,0,0,0,0,,
Start Rite Nursery School,0,0,0,0,0,,
Public School 10,0,0,0,0,0,,
Our Lady Queen of Peace School,0,0,0,0,0,,
Intermediate School 2 - George L. Egbert,0,0,0,0,0,,
Saint Elias School,0,0,0,0,0,,
Public School 100,0,0,0,0,0,,
Public School 370,0,0,0,0,0,,
Holy Family Elementary School,0,0,0,0,0,,
Newmark High School,0,0,0,0,0,,
Avenel Street School #4/5,0,0,0,0,0,,
Mark Twain Intermediate School 239,0,0,0,0,0,,
Our Lady of Fatima School,0,0,0,0,0,,
Temple Beth El School,0,0,0,0,0,,
John Adams Middle School,0,0,0,0,0,,
Learn and Explore Academy,0,0,0,0,0,,
Stella Maris High School,0,0,0,0,0,,
PS 195 Manhattan Beach,0,0,0,0,0,,
Public School 253,0,0,0,0,0,,
Leon M Goldstein High School of Sciences,0,0,0,0,0,,
J. P. Stevens High School,0,0,0,0,0,,
Shulamith of Brooklyn School for Girls,0,0,0,0,0,,
Mazel Day School,0,0,0,0,0,,
Carteret High School,0,0,0,0,0,,
Parker Elementary School,0,0,0,0,0,,
Public School 225,0,0,0,0,0,,
Carteret Middle School,0,0,0,0,0,,
College of Staten Island High School for International Studies,0,0,0,0,0,,
Sacred Heart School,0,0,0,0,0,,
Saint Christopher's School,0,0,0,0,0,,
I.S. 303 Herbert S. Eisenberg,0,0,0,0,0,,
John P. Faber School,0,0,0,0,0,,
Public School 52,0,0,0,0,0,,
Herbert S. Eisenberg,0,0,0,0,0,,
Abraham Lincoln High School,0,0,0,0,0,,
Rachel Carson High School for Coastal Studies,0,0,0,0,0,,
Middlesex High School,0,0,0,0,0,,
Public School 58,0,0,0,0,0,,
William E. Grady Career and Technical Education High School,0,0,0,0,0,,
Washington School,0,0,0,0,0,,
Scholars Academy,0,0,0,0,0,,
Hebrew Academy of Long Beach,0,0,0,0,0,,
Middle School 180,0,0,0,0,0,,
Long Beach Catholic Regional School,0,0,0,0,0,,
Nathan Hale Elementary School,0,0,0,0,0,,
James Madison Primary School,0,0,0,0,0,,
Beach Channel High School,0,0,0,0,0,,
FDR Preschool,0,0,0,0,0,,
Torah High School of Long Beach,0,0,0,0,0,,
John F. Kennedy Elementary School,0,0,0,0,0,,
James Madison Intermediate School,0,0,0,0,0,,
P.S. 209,0,0,0,0,0,,
West Elementary School,0,0,0,0,0,,
New Life Christian School,0,0,0,0,0,,
John Dewey High School,0,0,0,0,0,,
Public School 52,0,0,0,0,0,,
Brooklyn School For Special Children,0,0,0,0,0,,
Saint Mark School,0,0,0,0,0,,
Woodbine Avenue School #23,0,0,0,0,0,,
Lynn Crest School #22,0,0,0,0,0,,
Yeshiva Mekor Haim,0,0,0,0,0,,
Public School 216,0,0,0,0,0,,
Lido Elementary School,0,0,0,0,0,,
East Elementary School,0,0,0,0,0,,
Public School 254 Dag Hammarskjold,0,0,0,0,0,,
Most Precious Blood School,0,0,0,0,0,,
Public School 11,0,0,0,0,0,,
Arbor Elementary School,0,0,0,0,0,,
Saint Joseph Elementary School,0,0,0,0,0,,
Saint Anns School,0,0,0,0,0,,
Public School 286,0,0,0,0,0,,
Public School 69 - Daniel D. Tompkins,0,0,0,0,0,,
Lindell Elementary School,0,0,0,0,0,,
Long Beach Middle School,0,0,0,0,0,,
Public School 26,0,0,0,0,0,,
Long Beach City Schools,0,0,0,0,0,,
Lincoln Middle School,0,0,0,0,0,,
Dunellen High School,0,0,0,0,0,,
Richmond Preparatory Charter School,0,0,0,0,0,,
Willis School,0,0,0,0,0,,
The Police Officer Rocco Laurie Intermediate School 72,0,0,0,0,0,,
New Life Christian School,0,0,0,0,0,,
Franklin Elementary School,0,0,0,0,0,,
International High School at Lafayette,0,0,0,0,0,,
Origins High School,0,0,0,0,0,,
Professional Pathways High School,0,0,0,0,0,,
Kingsborough Early College Secondary School,0,0,0,0,0,,
Intermediate School 14,0,0,0,0,0,,
Our Lady of Grace School,0,0,0,0,0,,
Lev Bais Yaakov,0,0,0,0,0,,
Advanced Math and Science III High School,0,0,0,0,0,,
Humanities III High School,0,0,0,0,0,,
Long Beach High School,0,0,0,0,0,,
Claremont Avenue Elementary School,0,0,0,0,0,,
Public School 46 - Albert V. Maniscalco School,0,0,0,0,0,,
Staten Island Academy,0,0,0,0,0,,
Middle School 198,0,0,0,0,0,,
Intermediate School 281,0,0,0,0,0,,
Middle School 198,0,0,0,0,0,,
Public School 42,0,0,0,0,0,,
Public School 106,0,0,0,0,0,,
Public School 105,0,0,0,0,0,,
