cidr,school_name,verdict,ny_k12_found,k12_found,ips_checked,total_hosts
104.227.30.128/27,Lorraine Elementary School,CONFIRMED_NEGATIVE,,,30,30
24.97.124.44/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
23.246.96.80/29,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,6,6
169.59.155.0/26,Seaford Harbor Elementary School,CONFIRMED_NEGATIVE,,,40,62
38.109.85.128/27,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,30,30
38.66.128.128/25,Rachel Carson High School for Coastal Studies,CONFIRMED_NEGATIVE,,,40,126
24.213.158.140/30,Jefferson Road Elementary School,CONFIRMED_NEGATIVE,,,2,2
24.103.16.208/29,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,6,6
162.243.23.192/26,Stuyvesant High School,CONFIRMED_NEGATIVE,,,40,62
24.97.84.144/29,Lorraine Elementary School,CONFIRMED_NEGATIVE,,,6,6
108.176.115.44/30,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,2,2
167.230.217.128/26,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,40,62
208.105.227.128/29,Westhill Central High School,CONFIRMED_NEGATIVE,,,6,6
72.43.245.64/27,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,30,30
24.39.252.240/28,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,14,14
92.118.45.0/24,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,40,254
50.218.10.128/25,Roosevelt Elementary School,CONFIRMED_NEGATIVE,,,40,126
23.246.121.196/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
23.246.114.176/28,Stuyvesant High School,CONFIRMED_NEGATIVE,,,14,14
24.97.6.164/30,Blue Creek Elementary School,CONFIRMED_NEGATIVE,,,2,2
24.213.135.72/29,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,6,6
24.213.213.88/29,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,6,6
72.43.6.44/30,Bell Top Elementary School,CONFIRMED_NEGATIVE,,,2,2
98.0.165.216/29,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,6,6
23.246.101.224/29,Hunter College Campus Schools,CONFIRMED_NEGATIVE,,,6,6
72.45.198.32/29,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,6,6
24.105.179.40/29,Jefferson Road Elementary School,CONFIRMED_NEGATIVE,,,6,6
150.221.47.96/28,West Senior High School,CONFIRMED_NEGATIVE,,,14,14
108.30.223.0/24,Hanson Place Seventh-Day Adventist Elementary School,CONFIRMED_NEGATIVE,,,40,254
146.75.135.34/31,Bethlehem Central Middle School,CONFIRMED_NEGATIVE,,,2,2
72.43.242.180/30,John F Hughes Elementary School,CONFIRMED_NEGATIVE,,,2,2
50.108.232.158/31,OESJ High School,CONFIRMED_NEGATIVE,,,2,2
24.213.142.144/30,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,2,2
68.237.37.0/24,Hunter College Campus Schools,CONFIRMED_NEGATIVE,,,40,254
85.190.158.0/24,Henry P Becton Regional High School,CONFIRMED_NEGATIVE,,,40,254
38.117.221.128/26,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,40,62
184.75.68.112/28,Hanson Place Seventh-Day Adventist Elementary School,CONFIRMED_NEGATIVE,,,14,14
208.105.92.240/28,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,14,14
12.87.59.160/27,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,30,30
