cidr,school_name,org_handle
38.96.181.192/27,Leman Manhattan Preparatory School,NET4-2660B5C01B
50.122.247.56/29,MINISINK VALLEY CENTRAL SCHOOL DIST,NET-50-122-247-56-29
203.161.57.155/32,RESK Academy,NET-367896.203.161.57.155
50.48.221.80/29,NEWCOMB CENTRAL SCHOOL DISTRICT,NET-50-48-221-80-29
184.12.9.80/29,EUGENIO MARIA DE HOSTOS CHARTER SCHOOL,NET-184-12-9-80-29
184.12.42.48/29,EUGENIO MARIA DE HOSTOS CHARTER SCHOOL,NET-184-12-42-48-29
104.207.95.145/32,DreamAcademy,NET-365490.104.207.95.145
50.48.194.184/29,CHESTER UNION FREE SCHOOL DISTRICT,NET-50-48-194-184-29
50.122.231.40/29,Orange Ulster BOCES for Washingtonville Schools,NET-50-122-231-40-29
74.91.10.176/31,MetComm.Net c/o Al-Ihsan Academy,NET-16469.74.91.10.176/31
38.122.36.40/29,REACH Academy Charter School,NET4-267A24281D
170.215.204.24/29,Piseco Common School,NET-170-215-204-24-29
50.48.221.88/29,MINERVA CENTRAL SCHOOL DISTRICT,NET-50-48-221-88-29
50.122.247.144/28,CHESTER UNION FREE SCHOOL DISTRICT,NET-50-122-247-144-28
173.84.24.0/29,Canajoharie Central School,NET-173-84-24-0-29
38.122.36.8/30,The Western New York Regional Information Center (WNYRIC)  Erie 1 BOCES,NET4-267A24081E
50.122.247.168/29,MONROE NUMBER ONE BOCES,NET-50-122-247-168-29
162.213.249.136/32,El Nour Academy,NET-312586.162.213.249.136
50.122.139.24/29,Orange Ulster BOCES for Washingtonville Schools,NET-50-122-139-24-29
162.0.224.76/32,IdrisAcademy,NET-333425.162.0.224.76
74.39.196.128/28,Brockport Central Schools (Monroe BOCES),NET-74-39-196-128-28
69.9.43.32/28,MetComm.Net c/o Al-Ihsan Academy,NET-16760.69.9.43.32/28
207.38.206.72/29,ACADEMY IN NYC LEADERSHIP,"RCN-BLK-12-33700,RCN-BLK-12-33700"
50.122.190.48/29,Logical Net (Wheelerville Central School),NET-50-122-190-48-29
74.43.27.192/29,WSWHE BOCES,NET-74-43-27-192-29
50.122.143.140/30,OU BOCES,NET-50-122-143-140-30
38.122.37.16/29,REACH Academy Charter School,NET4-267A25101D
38.122.120.0/29,Greater Southern Tier Boces-GSTRIC,NET4-267A78001D
184.10.26.96/29,MONROE NUMBER ONE BOCES,NET-184-10-26-96-29
50.122.226.48/29,Brockport Central Schools (Monroe BOCES),NET-50-122-226-48-29
70.100.252.104/29,EUGENIO MARIA DE HOSTOS CHARTER SCHOOL,NET-70-100-252-104-29
184.12.42.24/29,MONROE NUMBER ONE BOCES,NET-184-12-42-24-29
50.49.242.208/28,Greater Johnstown School District,NET-50-49-242-208-28
74.39.233.88/29,Rochester City School District,NET-74-39-233-88-29
38.122.121.32/29,Syracuse City School District,NET4-267A79201D
65.37.79.64/28,Mercy High School,NET-65-37-79-64-28
74.39.218.116/30,Bishop Kearney High School,NET-74-39-218-116-30
74.39.243.64/27,Greater Johnstown School District,NET-74-39-243-64-27
173.86.206.144/28,Lake Pleasant Central School,NET-173-86-206-144-28
38.121.232.0/29,Madison-Oneida BOCES,NET4-2679E8001D
38.105.155.80/28,Cristo Rey New York High School,NET4-26699B501C
38.142.116.216/29,Leman Manhattan Preparatory School,NET4-268E74D81D
74.39.232.216/29,Rochester City School District,NET-74-39-232-216-29
74.39.244.128/25,Rochester City School District,NET-74-39-244-128-25
74.39.189.104/29,Rochester City School District,NET-74-39-189-104-29
