ip_address,school_name,geo_school,district_code,district_type,hostname,phase2_match,asn,whois_org,is_hosting,strong_dns_match,ny_k12_domain,whois_match,fcc_match,score,confidence,distance_km
64.72.66.66,Beacon Central School District,Beacon Central School District,,public,host2.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.71,Beacon Central School District,Beacon Central School District,,public,host7.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.69,Beacon Central School District,Beacon Central School District,,public,host5.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.70,Beacon Central School District,Beacon Central School District,,public,host6.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.73,Beacon Central School District,Beacon Central School District,,public,host9.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.76,Beacon Central School District,Beacon Central School District,,public,host12.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.75,Beacon Central School District,Beacon Central School District,,public,host11.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.65,Beacon Central School District,Beacon Central School District,,public,host1.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.68,Beacon Central School District,Beacon Central School District,,public,webmail.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.72,Beacon Central School District,Beacon Central School District,,public,beaconrnm.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.77,Beacon Central School District,Beacon Central School District,,public,host13.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.74,Beacon Central School District,Beacon Central School District,,public,beacon-mail.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.67,Beacon Central School District,Beacon Central School District,,public,mail.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
64.72.66.78,Beacon Central School District,Beacon Central School District,,public,host14.beaconk12.org,match,46887,Zayo Bandwidth,no,yes,no,no,no,2,high,
24.39.160.166,Indian River Central High School,Indian River Central High School,,public,metaframe.albany-academy.com,partial_match,11351,Charter Communications Inc,no,no,no,no,no,1,low,19.94
24.39.160.165,Indian River Central High School,Indian River Central High School,,public,aamail.albany-academy.com,partial_match,11351,Charter Communications Inc,no,no,no,no,no,1,low,19.94
208.125.61.139,Lake Placid High School,Lake Placid High School,,public,mail.lakeplacidlodge.com,match,11351,Charter Communications Inc,no,yes,no,no,no,2,high,12.53
208.125.61.138,Lake Placid High School,Lake Placid High School,,public,mail.lakeplacidlodge.com,match,11351,Charter Communications Inc,no,yes,no,no,no,2,high,12.53
163.153.159.1,Chateaugay Central School,Malone Middle School,cpcs,public,1.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.6,Chateaugay Central School,Malone Middle School,cpcs,public,6.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.3,Chateaugay Central School,Malone Middle School,cpcs,public,3.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.5,Chateaugay Central School,Malone Middle School,cpcs,public,5.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.4,Chateaugay Central School,Malone Middle School,cpcs,public,4.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.8,Chateaugay Central School,Malone Middle School,cpcs,public,8.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.7,Chateaugay Central School,Malone Middle School,cpcs,public,7.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.2,Chateaugay Central School,Malone Middle School,cpcs,public,2.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.9,Chateaugay Central School,Malone Middle School,cpcs,public,9.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.12,Chateaugay Central School,Malone Middle School,cpcs,public,12.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.13,Chateaugay Central School,Malone Middle School,cpcs,public,13.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.14,Chateaugay Central School,Malone Middle School,cpcs,public,14.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.10,Chateaugay Central School,Malone Middle School,cpcs,public,10.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
