school_name,ips_found,high,medium,low,best_confidence,source
Tottenville High School,0,0,0,0,none,none
Roosevelt Elementary School,0,0,0,0,none,none
Rachel Carson High School for Coastal Studies,0,0,0,0,none,none
Lido Elementary School,0,0,0,0,none,none
Saint Edmund Preparatory High School,0,0,0,0,none,none
New Utrecht High School,0,0,0,0,none,none
Port Richmond High School,0,0,0,0,none,none
Waverly Park Elementary School,0,0,0,0,none,none
Rhame Avenue Elementary School,0,0,0,0,none,none
East Rockaway Junior-Senior High School,0,0,0,0,none,none
Evergreen Elementary School,0,0,0,0,none,none
Seaford Harbor Elementary School,0,0,0,0,none,none
Howard T. Herber Middle School,0,0,0,0,none,none
Merrick Avenue Middle School,0,0,0,0,none,none
Harding Avenue Elementary School,0,0,0,0,none,none
South Brooklyn Community High School,0,0,0,0,none,none
Susan E. Wiley Elementary School,0,0,0,0,none,none
Park Avenue Elementary School,0,0,0,0,none,none
William S. Covert Elementary School,0,0,0,0,none,none
East Lake Elementary School,0,0,0,0,none,none
Hanson Place Seventh-Day Adventist Elementary School,0,0,0,0,none,none
Edmund W. Miles Middle School,0,0,0,0,none,none
Lindenhurst High School,0,0,0,0,none,none
John G. Dinkelmeyer Elementary School,0,0,0,0,none,none
Farmingdale High School,0,0,0,0,none,none
Walnut Street Elementary School,0,0,0,0,none,none
Sewanhaka High School,0,0,0,0,none,none
Stuyvesant High School,0,0,0,0,none,none
Santapogue Elementary School,0,0,0,0,none,none
Marion G. Vedder Elementary School,4050,4050,0,0,high,district (Sachem Central School District)
Glenwood Elementary School,0,0,0,0,none,none
Elisabeth Irwin High School,0,0,0,0,none,none
Belmont Elementary School,4050,4050,0,0,high,district (Sachem Central School District)
Forest Hills High School,0,0,0,0,none,none
Bay Shore High School,4050,4050,0,0,high,district (Sachem Central School District)
Martin Van Buren High School,0,0,0,0,none,none
Idle Hour Elementary School,4050,4050,0,0,high,district (Sachem Central School District)
New Hyde Park Road Elementary School,0,0,0,0,none,none
Cherry Avenue Elementary School,4050,4050,0,0,high,district (Sachem Central School District)
