run,ip_address,matched_school,hostname,arin_org,verdict,reason
both,170.24.142.8,Belmont Elementary School,barracuda.msd.k12.ny.us,Nassau County Board of Cooperative Education Services - Nassau Co. NY ,TRUE_POSITIVE,hostname is .k12.ny.us
both,24.38.39.22,Comsewogue High School,mail1.mtsinai.k12.ny.us,MOUNT SINAI UNION FREE SCHOOL DISTRICT,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.7,Highview School,shsweb.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.4,Highview School,scarmail.scarsdaleschools.k12.ny.us,,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.8,Highview School,tech.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.13,Highview School,scarsdaleny.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.1,Highview School,gate.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.17,Highview School,qtss.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.14,Highview School,ic.scarsdaleschools.k12.ny.us,,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.11,Highview School,project.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.43,Highview School,mail-a.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.47,Highview School,web1.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.10,Highview School,avg4.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.2,Highview School,gw.scarsdaleschools.k12.ny.us,,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.3,Highview School,msfmhome.scarsdaleschools.k12.ny.us,,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.26,Highview School,shs-4.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.24,Highview School,www.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.15,Highview School,so-1.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.6,Highview School,shs3.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.38,Highview School,shs-9.scarsdaleschools.k12.ny.us,,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.33,Highview School,shs-16.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
10km,168.100.171.30,Highview School,shs-13.scarsdaleschools.k12.ny.us,Scarsdale Schools District,TRUE_POSITIVE,hostname is .k12.ny.us
