ip_address,school_name,hostname,phase2_match,asn,whois_org,is_hosting,whois_match,fcc_match,score,confidence
206.226.154.227,Accompsett Elementary School,antispam.northport.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
206.226.155.2,Accompsett Elementary School,fw.elwood.k12.ny.us.elwood.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
206.226.154.227,Accompsett Middle School,antispam.northport.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
206.226.155.2,Accompsett Middle School,fw.elwood.k12.ny.us.elwood.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
208.125.168.51,Ballard Elementary School,northwarren.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
208.125.168.54,Ballard Elementary School,nwschoolrpt.northwarren.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
208.125.168.60,Ballard Elementary School,nwmx.northwarren.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
208.125.168.52,Ballard Elementary School,barracuda.northwarren.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
208.125.168.55,Ballard Elementary School,northwarren.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
208.125.168.56,Ballard Elementary School,schooltool.northwarren.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
208.125.168.53,Ballard Elementary School,nwmail1.northwarren.k12.ny.us,partial_match,NA,NA,no,no,no,1,low
170.24.142.8,Belmont Elementary School,barracuda.msd.k12.ny.us,partial_match,,,no,yes,yes,3,high
65.254.5.3,Belmont Elementary School,bs3640.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.2,Belmont Elementary School,bsraptor1.bvr.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.1,Belmont Elementary School,gw.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.5,Belmont Elementary School,bsfw2-1605.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.12,Belmont Elementary School,raptor.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.4,Belmont Elementary School,1600-out.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.7,Belmont Elementary School,bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.6,Belmont Elementary School,bssdfilter.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.8,Belmont Elementary School,www2.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.9,Belmont Elementary School,mail1.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.10,Belmont Elementary School,mail2.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.11,Belmont Elementary School,mail.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.13,Belmont Elementary School,finance01.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.14,Belmont Elementary School,mis.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
