ip_address,school_name,hostname,phase2_match,asn,whois_org,is_hosting,whois_match,fcc_match,score,confidence,ripe_validated,ripe_validated
170.24.142.8,Bay Shore High School,barracuda.msd.k12.ny.us,partial_match,395384,"MUFSD-1 - Massapequa Union Free School District, US",no,yes,no,2,medium,yes,yes
170.24.142.8,Belmont Elementary School,barracuda.msd.k12.ny.us,partial_match,395384,"MUFSD-1 - Massapequa Union Free School District, US",no,yes,no,2,medium,yes,yes
192.100.55.179,Belmont Elementary School,acad179.adelphi.edu,partial_match,20306,"ADELPHI - Adelphi University, US",no,yes,no,2,medium,yes,yes
170.24.142.8,Brentwood High School,barracuda.msd.k12.ny.us,partial_match,395384,"MUFSD-1 - Massapequa Union Free School District, US",no,yes,no,2,medium,yes,yes
64.19.74.218,Dexter Elementary School,school-bus-yellow.pollock.westelcom.com,partial_match,,,no,yes,yes,3,high,yes,yes
163.153.136.18,Flanders Elementary School,mail.malone.k12.ny.us.153.163.in-addr.arpa,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.1,Flanders Elementary School,1.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.2,Flanders Elementary School,2.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.4,Flanders Elementary School,4.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.6,Flanders Elementary School,6.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.3,Flanders Elementary School,3.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.5,Flanders Elementary School,5.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.11,Flanders Elementary School,11.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.9,Flanders Elementary School,9.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.14,Flanders Elementary School,14.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.7,Flanders Elementary School,7.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.8,Flanders Elementary School,8.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.12,Flanders Elementary School,12.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.16,Flanders Elementary School,16.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.15,Flanders Elementary School,15.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.10,Flanders Elementary School,10.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.13,Flanders Elementary School,13.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.19,Flanders Elementary School,19.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.17,Flanders Elementary School,17.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.18,Flanders Elementary School,18.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.27,Flanders Elementary School,27.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.21,Flanders Elementary School,21.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.23,Flanders Elementary School,23.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.24,Flanders Elementary School,24.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.30,Flanders Elementary School,30.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.29,Flanders Elementary School,29.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.22,Flanders Elementary School,22.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.69,Flanders Elementary School,69.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.28,Flanders Elementary School,28.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.20,Flanders Elementary School,20.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.32,Flanders Elementary School,32.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.33,Flanders Elementary School,33.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.34,Flanders Elementary School,34.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.26,Flanders Elementary School,26.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.36,Flanders Elementary School,36.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.25,Flanders Elementary School,25.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.31,Flanders Elementary School,31.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.39,Flanders Elementary School,39.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.37,Flanders Elementary School,37.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.38,Flanders Elementary School,38.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.35,Flanders Elementary School,35.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.40,Flanders Elementary School,40.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.73,Flanders Elementary School,73.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.46,Flanders Elementary School,46.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.44,Flanders Elementary School,44.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.45,Flanders Elementary School,45.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.41,Flanders Elementary School,41.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.43,Flanders Elementary School,43.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.42,Flanders Elementary School,42.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.80,Flanders Elementary School,80.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.50,Flanders Elementary School,50.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.49,Flanders Elementary School,49.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.51,Flanders Elementary School,51.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.48,Flanders Elementary School,48.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.47,Flanders Elementary School,47.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.52,Flanders Elementary School,52.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.53,Flanders Elementary School,53.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.56,Flanders Elementary School,56.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.57,Flanders Elementary School,57.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.55,Flanders Elementary School,55.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.54,Flanders Elementary School,54.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.105,Flanders Elementary School,105.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.63,Flanders Elementary School,63.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.59,Flanders Elementary School,59.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.58,Flanders Elementary School,58.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.60,Flanders Elementary School,60.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.64,Flanders Elementary School,64.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.65,Flanders Elementary School,65.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
