school_name,providers
Tottenville High School,Verizon|Spectrum
Roosevelt Elementary School,
Rachel Carson High School for Coastal Studies,Astound Broadband|Optimum|Verizon|Lightpath
Lido Elementary School,Optimum|Verizon|Lightpath
Saint Edmund Preparatory High School,Astound Broadband|Optimum|Verizon|Lightpath
New Utrecht High School,Optimum|Verizon|Lightpath
Port Richmond High School,Verizon|Lightpath|Spectrum
Waverly Park Elementary School,Optimum|Verizon|Lightpath
Rhame Avenue Elementary School,Optimum|Verizon|Lightpath
East Rockaway Junior-Senior High School,Optimum|Verizon|Lightpath
Evergreen Elementary School,
Seaford Harbor Elementary School,Optimum|Verizon|Lightpath
Howard T. Herber Middle School,Optimum|Verizon|Lightpath
Merrick Avenue Middle School,Optimum|Verizon|Lightpath
Harding Avenue Elementary School,Optimum|Verizon|Lightpath
South Brooklyn Community High School,Verizon|Lightpath|Optical Communications Group Inc|Spectrum
Susan E. Wiley Elementary School,Optimum|Verizon|Lightpath
Park Avenue Elementary School,Optimum|Verizon|Lightpath
William S. Covert Elementary School,Optimum|Verizon|Lightpath
East Lake Elementary School,Optimum|Verizon|Lightpath
Hanson Place Seventh-Day Adventist Elementary School,Verizon|Lightpath|Optical Communications Group Inc|Spectrum
Edmund W. Miles Middle School,Optimum|Verizon|Lightpath
Lindenhurst High School,Optimum|Verizon|Lightpath
John G. Dinkelmeyer Elementary School,Optimum|Verizon|Lightpath
Farmingdale High School,Optimum|Verizon|Lightpath
Walnut Street Elementary School,Optimum|Verizon|Lightpath
Sewanhaka High School,Optimum|Verizon|Lightpath|Optical Communications Group Inc
Stuyvesant High School,"Pilot Fiber|Spectrum|Zayo Network Services, LLC|Lightpath|Starry Inc|Astound Broadband|Cogent Communication|Verizon"
Santapogue Elementary School,Optimum|Verizon|Lightpath
Marion G. Vedder Elementary School,Optimum|Verizon|Lightpath
Glenwood Elementary School,
Elisabeth Irwin High School,"Pilot Fiber|Spectrum|Zayo Network Services, LLC|Lightpath|Starry Inc|Astound Broadband|FirstLight Fiber|ZAYO GROUP LLC|Optical Communications Group Inc|Cogent Communication|Verizon"
Belmont Elementary School,Optimum|Verizon|Lightpath
Forest Hills High School,Verizon|Lightpath|Spectrum
Bay Shore High School,Optimum|Verizon|ZAYO GROUP LLC|Lightpath
Martin Van Buren High School,Lightpath|Verizon|Spectrum
Idle Hour Elementary School,Optimum|Verizon|Lightpath
New Hyde Park Road Elementary School,Optimum|Verizon|Lightpath|Optical Communications Group Inc
Cherry Avenue Elementary School,Optimum|Verizon|Lightpath
Academy Street Elementary School,Optimum|Verizon|Lightpath
Queens Technical High School,Verizon|Lightpath|Spectrum
