school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
Name unknown,-74.39851379394531,40.500244140625,Unknown,USA,76c86a8d-9de5-3f3b-82c6-1da09bfc1b6c,
Erwinna School,-75.07321166992188,40.50038146972656,Unknown,USA,3d7bc3e0-f944-33a0-9f32-5e06698ffbe7,
Lincoln Elementary School,-74.4535140991211,40.50039291381836,Primary,USA,09779501-c387-3aa4-aaba-529c9099ce51,
Barkridge School,-77.96722412109375,40.50090789794922,Unknown,USA,c651d0d6-ac23-3928-a22b-7c3b2d99b506,
Rabbi Jacob Joseph Yeshiva School,-74.39797973632812,40.50099182128906,Unknown,USA,a613c3ba-d23f-38b6-877a-22419d1f24ba,
Longswamp Elementary School,-75.66046905517578,40.50148391723633,Primary,USA,1b1654f7-daf3-3a9d-b175-3372fda83306,
Name unknown,-74.41700744628906,40.50172805786133,Unknown,USA,296b7e75-5923-3cd2-b02f-eda53c78f4f2,
Name unknown,-74.4168701171875,40.501739501953125,Unknown,USA,f93442c3-7225-3335-a62a-f4748a957e06,
Childrens House Montessori School,-74.42678833007812,40.50193786621094,Unknown,USA,8a480d55-c629-336f-82f2-f3a368ed3b75,
New Brunswick Vocational School,-74.46037292480469,40.502010345458984,Unknown,USA,9834c57c-07dd-3ae0-9c88-7d0876bc2e52,
Adams School,-78.40501403808594,40.50201416015625,Unknown,USA,e9141867-3639-339e-a423-101ffa65b8c9,
Maple Grove School,-77.70860290527344,40.502017974853516,Unknown,USA,7830435c-91b9-3bed-a0bf-038cff2f8b15,
Robert N. Willentz Elementary School,-74.27569580078125,40.50212478637695,Primary,USA,995aedc5-2596-3fad-853a-9547d597b306,
Name unknown,-74.4170913696289,40.502159118652344,Unknown,USA,aa1ed458-84ae-3685-9aac-7d7038bc0265,
Irving Primary School,-74.4171142578125,40.50216293334961,Primary,USA,6ba271a4-7050-375e-8e64-0483c4cb5ba9,
Name unknown,-74.41731262207031,40.502628326416016,Unknown,USA,f5422ba4-a427-3ea7-aab6-beb6e61b20b1,
Hillsborough Elementary School,-74.64326477050781,40.50291061401367,Primary,USA,46349c23-4db4-3fb1-8253-f8cfa8c7c0aa,
Name unknown,-74.83335876464844,40.503055572509766,Unknown,USA,c7da7d42-7a15-3f0f-a77b-1acd92ad6fb8,
Saint Michaels School,-78.6305160522461,40.503074645996094,Unknown,USA,c323aad6-dccc-33b6-b1f8-cd9029ebf043,
Goodard School,-74.67200469970703,40.5031623840332,Unknown,USA,be49b9bc-f54d-34cc-80bd-5e3a65d0d4ba,
Highland Park Schools,-74.42650604248047,40.50341033935547,Secondary,USA,cf74403f-8fb7-34ee-a2d8-f1ce57958cab,
J P Case Middle School,-74.83282470703125,40.503517150878906,Secondary,USA,c5fb3b1c-ed3c-3806-be1a-9483763cc310,
Robert Hunter Elementary School,-74.87547302246094,40.5040168762207,Primary,USA,64624fc9-9db4-3711-b5de-97ce5eedb9e7,
Name unknown,-74.8756103515625,40.5040397644043,Unknown,USA,9f54e8d7-0a77-3366-a26b-e50045cb6f9e,
Moore School,-78.27417755126953,40.50423812866211,Unknown,USA,eaadeac6-7d2c-3a5d-ae84-04c4d83181e3,
Number 7 Elementary School,-74.27153778076172,40.5042724609375,Primary,USA,0f6963fe-3f64-32db-b092-67795c00cf09,
Name unknown,-74.40811920166016,40.50455093383789,Unknown,USA,03bb552f-0a55-38b5-a9b0-3037787c078b,
Sacred Heart School,-78.40306854248047,40.504791259765625,Unknown,USA,f0ece08d-c791-37d1-987c-702ac29114e0,
Conerly Road Elementary School,-74.4941177368164,40.50508117675781,Primary,USA,5ad9bb57-6c9f-3603-8235-ece47d1ed307,
Name unknown,-74.38108825683594,40.50521469116211,Unknown,USA,17923aa4-1f95-349f-9ea0-03cae60c2a28,
Raritan Learning Cooperative,-74.8580551147461,40.50600814819336,Unknown,USA,d6e6ffad-941a-311d-9119-92d353375cbf,
Kingwood Township Elementary School,-75.01179504394531,40.50632858276367,Primary,USA,2f1ea885-7014-3177-ab51-289aa2bc4fc4,
