school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,url,trimmed_url
Tottenville High School,-74.1935272216797,40.5283126831055,Secondary,USA,a13fafd6-07c1-34f5-9fbe-4e12626ef5d0,https://www.tottenvillehs.org/,tottenvillehs.org
Roosevelt Elementary School,-74.5914077758789,40.5452880859375,Primary,USA,cfcff967-b41b-3b14-9898-e23f84253a8a,https://www.roo.ossiningufsd.org/,roo.ossiningufsd.org
Rachel Carson High School for Coastal Studies,-73.9723052978516,40.5827407836914,Secondary,USA,088da459-b691-3e94-8774-ae0377176c74,https://www.rachelcarsonhs.org/,rachelcarsonhs.org
Lido Elementary School,-73.629768371582,40.5905151367188,Primary,USA,7a4249b9-3b28-3b4b-bfd5-3b8e4baf9c6d,https://www.lbeach.org/schools/lido_elementary_school,lbeach.org
Saint Edmund Preparatory High School,-73.952018737793,40.6008338928223,Secondary,USA,68a70473-5166-3f17-842d-e2d920c2ba9c,https://www.stedmundprep.org/,stedmundprep.org
New Utrecht High School,-74.0022735595703,40.6130294799805,Secondary,USA,6c838d65-444a-3054-acf3-127d413343bc,https://www.newutrechthighschoolnyc.com/,newutrechthighschoolnyc.com
Port Richmond High School,-74.1420593261719,40.6353378295898,Secondary,USA,2e68ca58-2fde-3f4d-8144-0665bdb60be3,https://www.portrichmondhs.org/,portrichmondhs.org
Waverly Park Elementary School,-73.675666809082,40.638111114502,Primary,USA,d1b3190d-f1ef-3a64-9c2b-771d5d686015,https://www.lynbrookschools.org/schools/waverly_park_elementary,lynbrookschools.org
Rhame Avenue Elementary School,-73.6647720336914,40.6383857727051,Primary,USA,00717a52-9ac5-3a10-9c18-c399133bbed5,https://eastrockawayschools.org/schools/rhame_avenue_school,eastrockawayschools.org
East Rockaway Junior-Senior High School,-73.6572570800781,40.6464195251465,Primary,USA,540a7e24-e94c-37b7-a5f5-13501f37c879,https://eastrockawayschools.org/,eastrockawayschools.org
Evergreen Elementary School,-74.3848876953125,40.6556053161621,Primary,USA,d4620180-0738-36bc-87b6-0793151436a7,https://evergreen.spfk12.org/,evergreen.spfk12.org
Seaford Harbor Elementary School,-73.5003204345703,40.6565475463867,Primary,USA,f28b2731-7a40-3c85-b61e-5cd3cd58ab21,https://www.seaford.k12.ny.us/seafordharbor,seaford.k12.ny.us
Howard T. Herber Middle School,-73.6627578735352,40.6696014404297,Secondary,USA,f5e752ce-82db-3616-84af-f1fe6e34198a,https://hth.malverneschools.org/,hth.malverneschools.org
Merrick Avenue Middle School,-73.5576400756836,40.6714668273926,Secondary,USA,2b970c96-5df3-3f19-aa05-ba50613dc28c,https://www.bellmore-merrick.k12.ny.us/schools/merrick_avenue_middle_school,bellmore-merrick.k12.ny.us
Harding Avenue Elementary School,-73.3524780273438,40.6736755371094,Primary,USA,56ff3e62-fe4c-3c41-91f8-ecc4f5142ecc,https://www.lindenhurstschools.org/,lindenhurstschools.org
South Brooklyn Community High School,-74.0141525268555,40.6777954101563,Secondary,USA,84be2f22-1df1-3976-b365-863cea62f3c1,https://www.mysbchs.org/,mysbchs.org
Susan E. Wiley Elementary School,-73.3945541381836,40.6790580749512,Primary,USA,6da8093b-4188-3985-8fbd-451bc8bb73d9,https://www.copiague.k12.ny.us/48760_3,copiague.k12.ny.us
Park Avenue Elementary School,-73.5484161376953,40.6806945800781,Primary,USA,73fd6a77-4366-33be-97c6-60fcd530a392,https://www.northbellmoreschools.org/,northbellmoreschools.org
William S. Covert Elementary School,-73.6231384277344,40.6828346252441,Primary,USA,f18cd91e-554e-325a-b6d8-b938c24923ea,https://covert.rvcschools.org/,covert.rvcschools.org
East Lake Elementary School,-73.4406585693359,40.6864128112793,Primary,USA,086b2877-5884-3875-9441-ba66403b887e,https://www.msd.k12.ny.us/o/eles,msd.k12.ny.us
Hanson Place Seventh-Day Adventist Elementary School,-73.9769973754883,40.6867599487305,Primary,USA,83abd190-69d6-366d-aa10-3009628a5678,https://hpsdaschool.org/,hpsdaschool.org
Edmund W. Miles Middle School,-73.4178085327148,40.689640045166,Secondary,USA,af1452fd-32a7-3c58-8e17-7ab633374513,https://amityvilleschools.org/schools/edmund_w_miles_middle_school,amityvilleschools.org
Lindenhurst High School,-73.3646469116211,40.696403503418,Secondary,USA,76625cf0-491f-3905-812c-1818cd5010db,https://www.lindenhurstschools.org/,lindenhurstschools.org
John G. Dinkelmeyer Elementary School,-73.5476379394531,40.6972236633301,Primary,USA,2f6e0174-f43b-3a67-ace4-0572ffe0f392,https://www.northbellmoreschools.org/schools/john_g_dinkelmeyer_elementary,northbellmoreschools.org
Farmingdale High School,-73.4461212158203,40.7073211669922,Secondary,USA,01385e9e-3a53-3b39-aebb-c9c2e4819e91,https://www.farmingdaleschools.org/schools/farmingdale_high_school,farmingdaleschools.org
Walnut Street Elementary School,-73.5806732177734,40.7075309753418,Primary,USA,042bf2df-4c98-3e62-9408-c2610e34ab53,https://wss.uniondaleschools.org/,wss.uniondaleschools.org
Sewanhaka High School,-73.6902313232422,40.7162780761719,Secondary,USA,80b43432-bee1-308b-b38a-9a8a815012e3,https://www.sewanhakaschools.org/,sewanhakaschools.org
Stuyvesant High School,-74.0138244628906,40.7180137634277,Secondary,USA,02946a2a-6305-3c75-becb-d107645cd10c,https://stuy.enschool.org/,stuy.enschool.org
Santapogue Elementary School,-73.3719940185547,40.7211151123047,Primary,USA,e32a47da-5a1d-3e04-a0c1-1a25f3f2bb44,https://santapogue.wbschools.org/,santapogue.wbschools.org
Marion G. Vedder Elementary School,-73.3238372802734,40.7221450805664,Primary,USA,f58effe8-a7ca-3839-8bbb-5ff79006b2a6,https://mv.northbabylonschools.net/,mv.northbabylonschools.net
Glenwood Elementary School,-74.3322448730469,40.7253952026367,Primary,USA,b05e4862-7d06-3582-a49f-5809fdb5a22d,https://gwe.millburn.org/,gwe.millburn.org
Elisabeth Irwin High School,-74.0047836303711,40.7269248962402,Secondary,USA,71abe759-31f9-33a1-88ba-e8f99acb0187,https://www.lrei.org/,lrei.org
Belmont Elementary School,-73.3561706542969,40.7272758483887,Primary,USA,d92050e9-2996-32ef-9a6e-bc03ac9b667c,https://be.northbabylonschools.net/,be.northbabylonschools.net
